ID,Tanimoto_similarity
385,0.5340909090909091
PI5,0.5308641975308642
FQ4,0.5189873417721519
FQ1,0.5125
QFI,0.5121951219512195
QK1,0.5119047619047619
OIS,0.5119047619047619
K2A,0.5061728395061729
TK7,0.5058823529411764
RAD,0.5056179775280899
K13,0.5
RAP,0.5
K14,0.5
KGQ,0.5
ARD,0.4945054945054945
K54,0.4942528735632184
D78,0.49411764705882355
K2D,0.49382716049382713
F53,0.49382716049382713
M9G,0.4880952380952381
